Categoria,Palabra,Frecuencia
Tipo de producto,cultura,1
Tipo de producto,tendencia,5
Tipo de producto,salud,6
Tipo de producto,cultura,2
Tipo de producto,tendencia,8
Tipo de producto,salud,2
Tipo de producto,bebidas,3
Tipo de producto,alcohol,9
Valor,amor,173
Valor,experiencia,184
Beneficio,disfrutar,61
Valor,cultura,118
Asociación,tendencia,188
Beneficio,salud,137
Característica,forma,200
Tipo de producto,cocteles,161
Valor,innovación,97
Tipo de producto,cerveza,13
Valor,mundo,133
Actividad,presentación,48
Característica,variedad,184
Tipo de producto,tequila,6
Valor,creatividad,118
Beneficio,evolución,19
Valor,diversidad,38
Actividad,consumo,40
Actividad,cambio,52
Atributo,original,53
Característica,sabor,198
Característica,lata,187
Tipo de producto,bebida,63
Actividad,celebración,83
Actividad,beber,169
Atributo,refrescante,36
Atributo,opción,131
Atributo,clásico,158
Atributo,cafeína,209
Beneficio,bienestar,160
Beneficio,equilibrio,76
Beneficio,interés,10
Beneficio,versatilidad,121
Beneficio,popular,72
Característica,blanco,169
Característica,botella,156
Ocasión,brindis,127
Ocasión,mercado,5
Atributo,calidad,10
Atributo,calorías,202
Atributo,buena,104
Beneficio,atención,172
Beneficio,oferta,51
Característica,ingrediente,108
Característica,marca,31
Característica,hielo,47
Característica,tamaño,159
Característica,internacional,137
Característica,versátil,192
Problema,exceso,165
Tipo de consumidor,amigos,21
Tipo de consumidor,día,106
Tipo de producto,mezcla,9
Tipo de producto,receta,148
Tipo de producto,casa,45
Tipo de producto,agua,41
Tipo de producto,tecnología,113
Valor,cuidado,184
Valor,valor,125
Valor,historia,79
Actividad,tomar,66
Actividad,compartir,191
Actividad,camino,175
Actividad,viaje,129
Actividad,cuenta,66
Asociación,conciencia,65
Asociación,moda,187
Asociación,naturaleza,58
Asociación,ciencia,204
Asociación,playa,93
Atributo,especial,137
Atributo,saludable,39
Atributo,único,162
Atributo,conocido,107
Atributo,común,65
Atributo,vanguardista,129
Beneficio,enfoque,43
Beneficio,capacidad,84
Beneficio,físico,144
Beneficio,placer,127
Beneficio,alegría,198
Beneficio,placer,125
Beneficio,estabilidad,194
Beneficio,emoción,83
Beneficio,dinámico,10
Beneficio,sobriedad,170
Beneficio,oportunidad,128
Beneficio,responsable,139
Característica,aire,119
Característica,gas,145
Característica,integral,71
Característica,estilo,177
Característica,frío,105
Característica,tradicional,60
Característica,calor,82
Característica,líquido,79
Característica,dulzura,100
Característica,elegante,46
Característica,gama,77
Característica,estética,44
Característica,línea,78
Característica,profunda,91
Característica,parte,76
Ocasión,baile,82
Ocasión,bar,156
Ocasión,mundial,120
Ocasión,cuando,12
Problema,desenfreno,101
Tipo de consumidor,gobierno,13
Tipo de consumidor,estado,30
Tipo de producto,licor,42
Tipo de producto,soda,52
Tipo de producto,café,53
Tipo de producto,deportivo,100
Tipo de producto,chocolate,123
Tipo de producto,productos,156
Valor,felicidad,135
Valor,vida,42
Valor,amistad,68
Valor,compañía,192
Valor,pasión,150
Valor,tradicional,83
Valor,libre,80
Valor,esencial,140
Actividad,escucha,55
Actividad,estudio,43
Actividad,meditación,71
Actividad,aislamiento,95
Actividad,ejercicio,28
Actividad,correr,166
Actividad,disposición,136
Actividad,hidratación,55
Actividad,propina,140
Actividad,trotar,186
Actividad,alimentación,173
Actividad,deporte,11
Actividad,nutrición,65
Actividad,respiración,89
Actividad,combinar,180
Actividad,morir,135
Actividad,festejo,16
Actividad,reír,86
Actividad,perrear,120
Actividad,parchar,134
Actividad,bailar,123
Actividad,conversación,54
Actividad,explosión,196
Actividad,esparcimiento,173
Actividad,cuidarse,124
Actividad,dormir,208
Actividad,incremento,70
Actividad,pagar,41
Actividad,pago,192
Actividad,aumento,67
Actividad,cobro de dinero,122
Actividad,gasto,12
Actividad,pagar por producto,18
Actividad,pago adicional,45
Actividad,pago obligatorio,109
Actividad,recaudo,184
Actividad,sanción,121
Actividad,robar,69
Actividad,balanceo,177
Actividad,buen hábito,198
Actividad,comer saludable,198
Actividad,dieta,60
Actividad,nutrirse bien,36
Actividad,buena alimentación,32
Actividad,descansar,102
Actividad,yoga,187
Actividad,alimentación vegetal,117
Actividad,abstinencia,44
Actividad,alimentación sana,115
Actividad,estilo de vida,79
Actividad,no consumo animal,201
Actividad,traducir,93
Actividad,almuerzo,14
Actividad,despertar,68
Actividad,amar,64
Actividad,publicidad,133
Actividad,cena,61
Actividad,emisión,157
Actividad,comer,85
Actividad,hidratar,72
Actividad,toca,65
Actividad,fotografía,162
Actividad,carga,128
Actividad,reinicio,86
Actividad,running,64
Actividad,recreación,166
Actividad,movimiento,100
Actividad,vestir,5
Actividad,impactar,205
Actividad,fitness,172
Actividad,esfuerzo,185
Actividad,vuelo,80
Actividad,viajar,95
Actividad,venir,77
Actividad,conocer,40
Actividad,pasear,76
Actividad,turismo,152
Actividad,paseo,167
Actividad,conform,199
Actividad,vacación,187
Actividad,volar,172
Actividad,vacaciones avión,195
Actividad,vivir,97
Actividad,tur,41
Actividad,tour,94
Actividad,plan,69
Actividad,unión,135
Actividad,limpieza de diente,154
Actividad,3 veces en el día,129
Actividad,sonría,124
Actividad,lavar,146
Actividad,tratamiento,139
Actividad,rutina,171
Actividad,traducción,55
Actividad,uso diario,194
Actividad,sonreír,162
Actividad,brillar,14
Actividad,practicar,7
Actividad,investigar,167
Actividad,cepillar,94
Asociación,mente,43
Asociación,tiempo,80
Asociación,diente,152
Asociación,medicina,74
Asociación,dian,31
Asociación,economía,156
Asociación,ley,84
Asociación,conocimiento,154
Asociación,cerebro,114
Asociación,neurona,196
Asociación,filosofía,45
Asociación,planeta,10
Asociación,doctrina,180
Asociación,animal,13
Asociación,chispa en tu boca,35
Asociación,oso polar,29
Asociación,papa noel,189
Asociación,chispa,172
Asociación,chispa de la vida,162
Asociación,colombia,51
Asociación,riñón,182
Asociación,corea del sur,122
Asociación,paisaje,84
Asociación,corea,199
Asociación,competidor de iphone,144
Asociación,alemania,21
Asociación,tres rayas,20
Asociación,3 rayas,71
Asociación,asociacion,147
Asociación,asociar,107
Asociación,cielo,36
Asociación,país,135
Asociación,aeropuerto,150
Asociación,pueblo,32
Asociación,pájaro,104
Asociación,nube,200
Asociación,comunidad,8
Asociación,asociación,209
Asociación,destino,176
Asociación,ciudad,48
Asociación,asociarse,165
Asociación,asola,179
Asociación,corazón,79
Asociación,rojo-blanco-azul,164
Asociación,palabra,180
Atributo,complemento,123
Atributo,suplemento,177
Atributo,sano,120
Atributo,frescura,31
Atributo,fino,65
Atributo,agradable,136
Atributo,novedoso,187
Atributo,nutritivo,204
Atributo,rico,179
Atributo,delicioso,39
Atributo,digestivo,60
Atributo,exquisito,75
Atributo,práctica,182
Atributo,sabrosa,177
Atributo,injusto,95
Atributo,caro,119
Atributo,real,67
Atributo,suplementación,68
Atributo,dietético,81
Atributo,animal-free,85
Atributo,poco consumo,59
Atributo,limitado,110
Atributo,bueno,61
Atributo,cruelty-free,51
Atributo,alimenticio,80
Atributo,fresco,156
Atributo,sin origen animal,141
Atributo,pet-friendly,120
Atributo,activo,44
Atributo,ético,27
Atributo,amigable,140
Atributo,poco saludable,6
Atributo,rigor,92
Atributo,innovador,33
Atributo,beneficioso,170
Atributo,decidido,126
Atributo,restricción,136
Atributo,rígido,197
Atributo,gourmet,52
Atributo,venenosidad,48
Atributo,nutricional,111
Atributo,extremo,86
Atributo,malo,126
Atributo,peligroso,96
Atributo,dañino,126
Atributo,excelente,122
Atributo,sensación,210
Atributo,adicción,188
Atributo,mejor,126
Atributo,sabroso,198
Atributo,sentimiento,123
Atributo,vendido,199
Atributo,increíble,85
Atributo,adictivo,22
Atributo,siempre,40
Atributo,precio,76
Atributo,contiene azúcar,210
Atributo,accesible,178
Atributo,adición,175
Atributo,barato,107
Atributo,inigualable,103
Atributo,antojos,52
Atributo,variado,177
Atributo,favorito,174
Atributo,competitivo,110
Atributo,renombrado,114
Atributo,espectacular,74
Atributo,relajante,110
Atributo,comercial,130
Atributo,ubíquo,65
Atributo,deleitoso,15
Atributo,sobrevalorado,71
Atributo,apetitosa,25
Atributo,llamativo,20
Atributo,incomparable,91
Atributo,comerciales,53
Atributo,placentero,129
Atributo,frío con hielo,132
Atributo,insuperable,61
Atributo,feo,201
Atributo,exquisita,116
Atributo,frío malo,192
Atributo,tiene,67
Atributo,seguridad,26
Atributo,garantía,70
Atributo,líder,119
Atributo,muy bueno,56
Atributo,genial,207
Atributo,divino,133
Atributo,linda,19
Atributo,originalidad,118
Atributo,originalidad comodidad,112
Atributo,simplicidad,37
Atributo,comodidad estilo,125
Atributo,caro y tenis,200
Atributo,aroma sensacional,83
Atributo,resistente,67
Atributo,estilo bonito,47
Atributo,liviana,60
Atributo,casual,143
Atributo,flexibilidad,37
Atributo,cómoda,128
Atributo,ir con todo,48
Atributo,multifuncional,194
Atributo,diseño exclusivo,178
Atributo,outfit perfecto,58
Atributo,diferente estilo,29
Atributo,duradera,111
Atributo,informal,166
Atributo,larga duración,182
Atributo,retro,29
Atributo,movilidad,65
Atributo,servicio al cliente,42
Atributo,precio alto,201
Atributo,gozar,70
Atributo,favorable,133
Atributo,blanquear,24
Atributo,gustar,39
Atributo,excelentísimo,207
Atributo,blanqueador,96
Atributo,conocida,71
Atributo,limpia,176
Atributo,brillo,208
Atributo,directo,135
Atributo,blanqueamiento,197
Atributo,mentado,178
Atributo,buenísimo,175
Atributo,max white,106
Atributo,eficaz,59
Atributo,número 1,51
Atributo,brillante,103
Atributo,estético,19
Atributo,parabeno,210
Atributo,asequible,20
Atributo,clarísimo,177
Atributo,mil,208
Beneficio,vitalidad,122
Beneficio,actividad cerebral,46
Beneficio,análisis,169
Beneficio,disponibilidad,90
Beneficio,entendimiento,167
Beneficio,memoria,139
Beneficio,inteligencia,184
Beneficio,mejoría,203
Beneficio,actividad neuronal,88
Beneficio,estar pilas,30
Beneficio,productividad,134
Beneficio,tranquilidad,92
Beneficio,reflexión,161
Beneficio,aguante,14
Beneficio,concentración,86
Beneficio,rendimiento,92
Beneficio,actividad física,80
Beneficio,autocontrol,102
Beneficio,control mental,152
Beneficio,defensa,107
Beneficio,estrategia,157
Beneficio,fuerza mental,82
Beneficio,grandeza,116
Beneficio,potencia,127
Beneficio,tener vitalidad y energía,40
Beneficio,agilidad,16
Beneficio,calidad de vida,58
Beneficio,poder,207
Beneficio,rapidez,119
Beneficio,acondicionamiento físico,158
Beneficio,actividad,169
Beneficio,beneficio,158
Beneficio,bueno actitud,112
Beneficio,dinamismo,103
Beneficio,entusiasmo,194
Beneficio,fuerza,151
Beneficio,promedio de vida,53
Beneficio,resistencia,61
Beneficio,vigor,183
Beneficio,higiene,51
Beneficio,limpieza,11
Beneficio,protección,95
Beneficio,sonrisa,182
Beneficio,aliento fresco,5
Beneficio,diversión,186
Beneficio,relax,44
Beneficio,energía,76
Beneficio,disfrute,110
Beneficio,encanto,63
Beneficio,presupuesto,123
Beneficio,belleza,70
Beneficio,buena vida,38
Beneficio,gusto,79
Beneficio,mantenerse en forma,62
Beneficio,mejor rendimiento físico,165
Beneficio,sanidad,19
Beneficio,satisfecho,20
Beneficio,vida saludable,14
Beneficio,comodidad,33
Beneficio,cuerpo sano,173
Beneficio,concentrado,46
Beneficio,salud mental,156
Beneficio,nutrición sana,202
Beneficio,buena digestión,170
Beneficio,delgadez,205
Beneficio,consciente,9
Beneficio,refrescar,47
Beneficio,satisfacción,29
Beneficio,prestigio,196
Beneficio,deleite,175
Beneficio,saciante,23
Beneficio,energizante,55
Beneficio,hidratante,189
Beneficio,remedio,91
Beneficio,relajo,88
Beneficio,inevitable,49
Beneficio,encantarse,54
Beneficio,feliz,75
Beneficio,famoso,208
Beneficio,marcar la diferencia,148
Beneficio,posicionamiento,47
Beneficio,gozo,116
Beneficio,relajación,53
Beneficio,delicio,204
Beneficio,quitar la sed,117
Beneficio,comfidencia,81
Beneficio,gusta,36
Beneficio,difrutar,39
Beneficio,crecimiento,153
Beneficio,excelencia,32
Beneficio,novedad,198
Beneficio,confiabilidad,137
Beneficio,durabilidad,20
Beneficio,exclusividad,126
Beneficio,confianza,177
Beneficio,duración,35
Beneficio,servicio,48
Beneficio,buen precio,91
Beneficio,para toda la vida,98
Beneficio,conectividad,68
Beneficio,eficacia,165
Beneficio,de buena calidad,198
Beneficio,futuro,112
Beneficio,buen servicio,163
Beneficio,caso de éxito,65
Beneficio,avance,189
Beneficio,última tecnología,190
Beneficio,buen producto,147
Beneficio,rentable,178
Beneficio,entretenimiento,56
Beneficio,confiable,101
Beneficio,mejora,155
Beneficio,respaldo,110
Beneficio,vanguardia,193
Beneficio,facilidad,198
Beneficio,buena calidad,175
Beneficio,duradero,45
Beneficio,ecosistema,93
Beneficio,buena calidad de imagen,208
Beneficio,calma,107
Beneficio,mágico,11
Beneficio,comunicación,158
Beneficio,lujo,182
Beneficio,servicio de calidad,81
Beneficio,mejor cámara,155
Beneficio,completo,121
Beneficio,repuesto económico,29
Beneficio,ahorro,70
Beneficio,excelente producto,54
Beneficio,excelente marca,144
Beneficio,confort,83
Beneficio,estatus,106
Beneficio,confortable,33
Beneficio,pureza,54
Beneficio,exclusivo,186
Beneficio,fama,53
Beneficio,garantizada,188
Beneficio,conformidad,32
Beneficio,voluntad,55
Beneficio,buena marca,146
Beneficio,caché,154
Beneficio,revolucionario,180
Beneficio,nivel,53
Beneficio,seguro,45
Beneficio,libertad,98
Beneficio,cotizado,175
Beneficio,variación,183
Beneficio,merecer,6
Beneficio,buen gusto,42
Beneficio,todo terreno,67
Beneficio,inversión,93
Beneficio,reconocimiento mundial,145
Beneficio,precio-variedad-familia-regalo-durabilidad,106
Beneficio,promoción,152
Beneficio,glamour,15
Beneficio,util,100
Beneficio,cumplimiento,21
Beneficio,tarifa baja,101
Beneficio,satisfaccion,136
Beneficio,puntualidad,163
Beneficio,lujoso,166
Beneficio,accesibilidad,114
Beneficio,amabilidad,143
Beneficio,cortesía,183
Beneficio,marca conocida,55
Beneficio,eterno,110
Beneficio,aventura,188
Beneficio,regular,116
Beneficio,seguro,52
Beneficio,tarifa,55
Beneficio,buen destino,123
Beneficio,descuento,199
Beneficio,triple acción,167
Beneficio,sonrisa brillante,105
Beneficio,efectivo,39
Beneficio,aseo,137
Beneficio,salud oral,130
Beneficio,anticaries,102
Beneficio,excelente calidad,170
Beneficio,diente sano,65
Beneficio,limpieza total,53
Beneficio,limpieza,182
Beneficio,freca,37
Beneficio,higiene oral,53
Beneficio,cuidado en salud oral,191
Beneficio,limpieza,58
Beneficio,acción herbal,55
Beneficio,rico sabor,110
Beneficio,aseo bucal,207
Beneficio,prevención,204
Beneficio,asepsia,144
Beneficio,buen aliento,24
Beneficio,sonrisa lindo,151
Beneficio,buen sabor,150
Beneficio,cuidado dental,116
Beneficio,higiene bucal,45
Beneficio,buen olor,85
Beneficio,frescura limpieza,142
Beneficio,buena experiencia,39
Beneficio,sin bacteria,124
Beneficio,Lucir bien,22
Beneficio,buena presentación,17
Beneficio,eficiencia,53
Beneficio,diente saludable,206
Beneficio,diversidad de precio,179
Beneficio,sin mal aliento,159
Beneficio,buen aroma,65
Beneficio,limpiar bien,71
Beneficio,sabor rico,166
Beneficio,efectividad,19
Beneficio,frescura dental,17
Beneficio,favorita,150
Beneficio,chévere,200
Beneficio,beneficios,33
Característica,crocancia,134
Característica,surtido,150
Característica,sin azúcar,99
Característica,letra y número,38
Característica,vitamina,86
Característica,sol,200
Característica,cebada,189
Característica,espumoso,102
Característica,crema,54
Característica,color azul,135
Característica,mentolado,47
Característica,gaseoso,33
Característica,burbujeante,43
Característica,burbuja,28
Característica,ligero,203
Característica,transparente,204
Característica,color,89
Característica,color rojo/verde,46
Característica,suavidad,178
Característica,poco trago,157
Característica,peso,197
Característica,calcio,173
Característica,letra dorada,68
Característica,suave,182
Característica,dulce,25
Característica,proteína,41
Característica,crujiente,5
Característica,tosh,90
Característica,avellana,103
Característica,avena,181
Característica,cereal,90
Característica,chispita,139
Característica,colombina,90
Característica,cremosidad,208
Característica,crocante,5
Característica,chocolate oreo,200
Característica,de manteca,188
Característica,dorada,99
Característica,ducales,156
Característica,duro,16
Característica,harina,108
Característica,kiwi,190
Característica,redondo,44
Característica,relleno,47
Característica,sal,147
Característica,salado,91
Característica,saltín de manteca,101
Característica,costo,14
Característica,costo alto,57
Característica,costoso,183
Característica,dinero de más,118
